model_name,sheet_number,sheet_name,current_revision,revision_date,revision_description,regulated_required,regulated_rev,regulated_date,regulated_description,regulated_dp_name,regulated_dp_reg_no
AA_Hinkler_Av,A09014,OVERALL GA PLAN - BASEMENT 02,F,11.05.26,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A09017,OVERALL GA PLAN - BASEMENT 01,F,11.05.26,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A09020,OVERALL GA PLAN - GROUND,E,06.05.26,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A09021,OVERALL GA PLAN - LEVEL 01,D,06.05.26,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A09023,OVERALL GA PLAN - LEVEL 03-04,D,08.05.26,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A09025,OVERALL GA PLAN - LEVEL 05,D,08.05.26,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A09026,OVERALL GA PLAN - LEVEL 06,D,08.05.26,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A09022,OVERALL GA PLAN - LEVEL 02,D,08.05.26,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A09027,OVERALL GA PLAN - LEVEL 07,E,11.05.26,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A09028,OVERALL GA PLAN - LEVEL 08,D,08.05.26,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A09029,OVERALL GA PLAN - LEVEL 09,E,11.05.26,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A10017,GA PLAN - BASEMENT 01 SHEET 01,F,11.05.26,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A10018,GA PLAN - BASEMENT 01 SHEET 02,F,11.05.26,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A10011,GA PLAN - BASEMENT 03 SHEET 01,E,06.05.26,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A10012,GA PLAN - BASEMENT 03 SHEET 02,E,06.05.26,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A10020,GA PLAN - GROUND SHEET 01,I,08.05.26,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A10021,GA PLAN - GROUND SHEET 02,H,06.05.26,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A11017,WALL SETOUT PLAN - BASEMENT 01 SHEET 01,,,,,,,,,
AA_Hinkler_Av,A11018,WALL SETOUT PLAN - BASEMENT 01 SHEET 02,,,,,,,,,
AA_Hinkler_Av,A11014,WALL SETOUT PLAN - BASEMENT 02 SHEET 01,,,,,,,,,
AA_Hinkler_Av,A11015,WALL SETOUT PLAN - BASEMENT 02 SHEET 02,,,,,,,,,
AA_Hinkler_Av,A11020,WALL SETOUT PLAN - GROUND SHEET 01,,,,,,,,,
AA_Hinkler_Av,A11021,WALL SETOUT PLAN - GROUND SHEET 02,,,,,,,,,
AA_Hinkler_Av,A13017,CONC SETOUT PLAN - BASEMENT 01 SHEET 01,B,11.05.26,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A13018,CONC SETOUT PLAN - BASEMENT 01 SHEET 02,B,11.05.26,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A13015,CONC SETOUT PLAN - BASEMENT 02 SHEET 02,B,11.05.26,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A13016,CONC SETOUT PLAN - BASEMENT 02 SHEET 03,4,12.02.26,CONSTRUCTION-ISSUED REGULATED DESIGN (VARIATION),,,,,,
AA_Hinkler_Av,A13020,CONC SETOUT PLAN - GROUND SHEET 01,,,,,,,,,
AA_Hinkler_Av,A13021,CONC SETOUT PLAN - GROUND SHEET 02,,,,,,,,,
AA_Hinkler_Av,A00000,COVER SHEET,,,,,,,,,
AA_Hinkler_Av,A00010,LEGENDS,,,,,,,,,
AA_Hinkler_Av,A00015,DRAWING LIST,,,,,,,,,
AA_Hinkler_Av,A00020,SITE PLAN,1,08.08.25,CONSTRUCTION-ISSUED REGULATED DESIGN (CC1),,,,,,
AA_Hinkler_Av,A00030,GRID SETOUT PLAN,1,08.08.25,CONSTRUCTION-ISSUED REGULATED DESIGN (CC1),,,,,,
AA_Hinkler_Av,A02010,DEMOLITION PLAN,1,08.08.25,CONSTRUCTION-ISSUED REGULATED DESIGN (CC1),,,,,,
AA_Hinkler_Av,A02020,BULK EXCAVATION PLAN,2,23.10.25,CONSTRUCTION-ISSUED REGULATED DESIGN (CC1 VARIATION),,,,,,
AA_Hinkler_Av,A02031,SHORING PLAN SHEET 01,2,23.10.25,CONSTRUCTION-ISSUED REGULATED DESIGN (CC1 VARIATION),,,,,,
AA_Hinkler_Av,A02032,SHORING PLAN SHEET 02,2,23.10.25,CONSTRUCTION-ISSUED REGULATED DESIGN (CC1 VARIATION),,,,,,
AA_Hinkler_Av,A02041,SHORING WALL ELEVATIONS SHEET 01,2,23.10.25,CONSTRUCTION-ISSUED REGULATED DESIGN (CC1 VARIATION),,,,,,
AA_Hinkler_Av,A02042,SHORING WALL ELEVATIONS SHEET 02,2,23.10.25,CONSTRUCTION-ISSUED REGULATED DESIGN (CC1 VARIATION),,,,,,
AA_Hinkler_Av,A14016,WATERPROOFING PLAN - BASEMENT 02 SHEET 03,B,01.12.25,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A14019,WATERPROOFING PLAN - BASEMENT 01 SHEET 03,B,01.12.25,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A14022,WATERPROOFING PLAN - GROUND SHEET 03,B,01.12.25,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A16020,RCP - GROUND SHEET 01,,,,,,,,,
AA_Hinkler_Av,A16021,RCP - GROUND SHEET 02,,,,,,,,,
AA_Hinkler_Av,A16017,RCP - BASEMENT 01 SHEET 01,A,23.04.26,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A16019,RCP - BASEMENT 01 SHEET 03,A,23.04.26,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A16014,RCP - BASEMENT 02 SHEET 01,A,10.04.26,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A42001,FACADE DETAILS SHEET 01,D,27.02.26,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A42002,FACADE DETAILS SHEET 02,C,27.02.26,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A60001,WALL TYPE DETAILS,A,23.03.26,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A70001,KITCHEN ISLAND TYPE 1A,B,16.04.26,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A70002,KITCHEN ISLAND TYPE 1B,B,16.04.26,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A70003,KITCHEN ISLAND TYPE 1C,B,16.04.26,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A70004,KITCHEN GALLEY TYPE 2A AND 2B,B,16.04.26,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A70005,KITCHEN L-SHAPE TYPE 3A,B,16.04.26,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A90001,STATUTORY SIGNAGE SHEET 01,B,09.04.26,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A45001,METALWORK - SCHEDULE,,,,,,,,,
AA_Hinkler_Av,A17014,INSULATION - BASEMENT 02 SHEET 01,,,,,,,,,
